Date,Open
2015-07-31,864.5
2015-08-03,880.0
2015-08-04,884.0
2015-08-05,905.0
2015-08-06,920.0
2015-08-07,911.0
2015-08-10,903.5
2015-08-11,905.0
2015-08-12,890.0
2015-08-13,872.15
2015-08-14,880.0
2015-08-17,903.5
2015-08-18,906.95
2015-08-19,898.5
2015-08-20,905.0
2015-08-21,875.0
2015-08-24,858.0
2015-08-25,850.0
2015-08-26,851.0
2015-08-27,860.0
2015-08-28,866.85
2015-08-31,857.0
2015-09-01,844.0
2015-09-02,829.9
2015-09-03,815.0
2015-09-04,824.0
2015-09-07,815.0
2015-09-08,791.1
2015-09-09,800.0
2015-09-10,817.0
2015-09-11,815.0
2015-09-14,822.0
2015-09-15,840.1
2015-09-16,840.0
2015-09-18,826.0
2015-09-21,838.3
2015-09-22,831.2
2015-09-23,795.1
2015-09-24,794.9
2015-09-28,810.0
2015-09-29,783.0
2015-09-30,808.0
2015-10-01,845.8
2015-10-05,843.0
2015-10-06,859.9
2015-10-07,855.0
2015-10-08,865.0
2015-10-09,876.5
2015-10-12,857.0
2015-10-13,862.7
2015-10-14,863.9
2015-10-15,866.0
2015-10-16,871.95
2015-10-19,882.5
2015-10-20,874.0
2015-10-21,874.0
2015-10-23,863.0
2015-10-26,830.05
2015-10-27,818.0
2015-10-28,829.5
2015-10-29,831.0
2015-10-30,835.6
2015-11-02,831.0
2015-11-03,832.0
2015-11-04,814.5
2015-11-05,807.0
2015-11-06,808.55
2015-11-09,790.9
2015-11-10,814.7
2015-11-11,808.0
2015-11-13,807.0
2015-11-16,796.0
2015-11-17,807.45
2015-11-18,807.95
2015-11-19,827.0
2015-11-20,821.4
2015-11-23,838.2
2015-11-24,850.0
2015-11-26,861.0
2015-11-27,862.6
2015-11-30,859.0
2015-12-01,843.0
2015-12-02,847.95
2015-12-03,849.0
2015-12-04,841.5
2015-12-07,842.0
2015-12-08,874.05
2015-12-09,866.45
2015-12-10,844.5
2015-12-11,860.95
2015-12-14,860.0
2015-12-15,878.5
2015-12-16,880.0
2015-12-17,871.5
2015-12-18,874.5
2015-12-21,879.0
2015-12-22,874.0
2015-12-23,882.95
2015-12-24,880.5
2015-12-28,882.0
2015-12-29,883.7
2015-12-30,881.15
2015-12-31,879.95
2016-01-01,882.0
2016-01-04,876.2
2016-01-05,881.3
2016-01-06,904.5
2016-01-07,883.0
2016-01-08,879.0
2016-01-11,870.0
2016-01-12,882.0
